date,region,channel,sku,category,segment,qty,unit_price,discount_rate,unit_cost,revenue,tavg,tmax,tmin,precipitation,spend,clicks_mkt,impr_mkt,section,slot_rank,impr_merch,clicks_merch,campaign,platform,is_event,stock_on_hand,lead_time_days
2025-01-02,SEOUL,app,SKU-008,Acc,NEW,11,51000,0.03,30600,544170,1.3,4.3,-0.6,0,0,206,9927,MAIN,3,1641,16,AlwaysOn,meta,0,193,5
2025-01-03,SEOUL,web,SKU-001,Outer,VIP,8,30000,0.03,15600,232800,0.4,3.9,-1.9,0,0,203,10603,MAIN,3,1477,16,AlwaysOn,google,0,292,14
2025-01-03,BUSAN,app,SKU-002,Outer,NEW,7,37000,0.03,20720,251230,4.0,7.1,1.7,0,0,212,10298,MAIN,3,1501,5,AlwaysOn,meta,0,253,14
2025-01-03,SEOUL,app,SKU-003,Inner,RETURN,11,44000,0.03,26400,469480,1.4,4.5,-0.4,0,0,186,10207,MAIN,3,1420,12,AlwaysOn,meta,0,198,14
2025-01-03,BUSAN,web,SKU-004,Inner,RETURN,13,51000,0.03,32640,643110,3.5,6.5,1.9,0,0,178,9799,MAIN,3,1534,8,AlwaysOn,google,0,183,7
2025-01-03,SEOUL,app,SKU-005,Kids,RETURN,10,30000,0.03,20400,291000,1.8,4.7,-0.5,0,0,209,9375,MAIN,3,1374,15,AlwaysOn,meta,0,303,7
2025-01-03,BUSAN,web,SKU-006,Kids,VIP,10,37000,0.03,19240,358900,3.9,7.3,1.5,0,0,219,9547,MAIN,3,1438,13,AlwaysOn,google,0,348,14
2025-01-03,SEOUL,app,SKU-007,Shoes,NEW,7,44000,0.03,24640,298760,1.3,4.5,-1.0,0,0,231,10352,MAIN,3,1447,7,AlwaysOn,meta,0,330,7
2025-01-03,BUSAN,web,SKU-008,Acc,VIP,6,51000,0.03,30600,296820,3.6,6.2,1.6,0,0,213,10263,MAIN,3,1531,11,AlwaysOn,google,0,187,5
2025-01-04,BUSAN,app,SKU-001,Outer,NEW,9,30000,0.03,15600,261900,4.0,7.4,1.8,0,0,181,9497,MAIN,2,1887,14,AlwaysOn,meta,0,283,14
2025-01-04,SEOUL,web,SKU-002,Outer,VIP,7,37000,0.03,20720,251230,2.1,5.2,-0.3,0,0,202,10172,MAIN,2,1922,15,AlwaysOn,google,0,246,14
2025-01-04,BUSAN,web,SKU-003,Inner,RETURN,8,44000,0.03,26400,341440,3.9,6.9,1.5,0,0,209,9825,MAIN,2,1792,11,AlwaysOn,google,0,190,14
2025-01-04,SEOUL,app,SKU-004,Inner,RETURN,6,51000,0.03,32640,296820,0.9,3.9,-1.7,0,0,221,9684,MAIN,2,1914,24,AlwaysOn,meta,0,177,7
2025-01-04,BUSAN,web,SKU-005,Kids,NEW,14,30000,0.03,20400,407400,3.7,7.2,1.4,0,0,211,10130,MAIN,2,1783,14,AlwaysOn,google,0,289,7
2025-01-04,SEOUL,app,SKU-006,Kids,VIP,7,37000,0.03,19240,251230,2.6,5.4,0.4,0,0,192,9796,MAIN,2,1898,19,AlwaysOn,meta,0,341,14
2025-01-04,BUSAN,web,SKU-007,Shoes,NEW,10,44000,0.03,24640,426800,4.9,7.9,2.6,0,0,198,10475,MAIN,2,1734,16,AlwaysOn,google,0,320,7
2025-01-04,SEOUL,app,SKU-008,Acc,RETURN,3,51000,0.03,30600,148410,2.2,5.4,-0.3,0,0,214,10357,MAIN,2,1805,16,AlwaysOn,meta,0,184,5
2025-01-05,SEOUL,web,SKU-001,Outer,VIP,5,30000,0.03,15600,145500,2.6,6.2,0.2,0,0,205,9597,MAIN,3,1579,15,AlwaysOn,google,0,278,14
2025-01-05,BUSAN,app,SKU-002,Outer,RETURN,5,37000,0.03,20720,179450,3.6,6.2,1.4,0,0,225,10087,MAIN,3,1360,4,AlwaysOn,meta,0,241,14
2025-01-05,SEOUL,app,SKU-003,Inner,RETURN,14,44000,0.03,26400,597520,3.0,5.6,0.5,0,0,199,9340,MAIN,3,1434,6,AlwaysOn,meta,0,176,14
2025-01-05,BUSAN,web,SKU-004,Inner,VIP,10,51000,0.03,32640,494700,3.7,6.8,1.2,0,0,201,9393,MAIN,3,1587,10,AlwaysOn,google,0,167,7
2025-01-05,SEOUL,app,SKU-005,Kids,NEW,7,30000,0.03,20400,203700,3.2,5.8,0.9,0,0,238,10567,MAIN,3,1362,3,AlwaysOn,meta,0,282,7
2025-01-05,BUSAN,web,SKU-006,Kids,VIP,13,37000,0.03,19240,466570,4.1,7.4,2.2,0,0,214,9928,MAIN,3,1531,4,AlwaysOn,google,0,328,14
2025-01-05,SEOUL,app,SKU-007,Shoes,RETURN,9,44000,0.03,24640,384120,2.8,6.2,0.9,0,0,224,10170,MAIN,3,1438,8,AlwaysOn,meta,0,311,7
2025-01-05,BUSAN,web,SKU-008,Acc,RETURN,8,51000,0.03,30600,395760,4.9,7.8,2.5,0,0,195,9682,MAIN,3,1380,11,AlwaysOn,google,0,176,5
2025-01-06,BUSAN,app,SKU-001,Outer,NEW,8,30000,0.03,15600,232800,4.3,7.9,2.2,0,0,229,10050,MAIN,3,1563,10,AlwaysOn,meta,0,270,14
2025-01-06,SEOUL,web,SKU-002,Outer,VIP,10,37000,0.03,20720,358900,2.4,5.7,0.0,0,0,198,9408,MAIN,3,1507,10,AlwaysOn,google,0,231,14
2025-01-06,BUSAN,web,SKU-003,Inner,RETURN,9,44000,0.03,26400,384120,3.8,7.3,2.3,0,0,233,10280,MAIN,3,1403,14,AlwaysOn,google,0,167,14
2025-01-06,SEOUL,app,SKU-004,Inner,NEW,11,51000,0.03,32640,544170,1.6,4.8,-0.9,0,0,220,10408,MAIN,3,1383,6,AlwaysOn,meta,0,156,7
2025-01-06,BUSAN,web,SKU-005,Kids,NEW,5,30000,0.03,20400,145500,4.3,7.1,2.0,0,0,188,10072,MAIN,3,1575,10,AlwaysOn,google,0,277,7
2025-01-06,SEOUL,app,SKU-006,Kids,VIP,5,37000,0.03,19240,179450,3.4,6.1,1.8,0,0,196,9462,MAIN,3,1639,6,AlwaysOn,meta,0,323,14
2025-01-06,BUSAN,web,SKU-007,Shoes,NEW,10,44000,0.03,24640,426800,4.8,8.0,3.2,0,0,187,10276,MAIN,3,1454,15,AlwaysOn,google,0,301,7
2025-01-06,SEOUL,app,SKU-008,Acc,RETURN,5,51000,0.03,30600,247350,1.0,3.8,-1.4,0,0,204,10236,MAIN,3,1614,5,AlwaysOn,meta,0,171,5
2025-01-07,SEOUL,web,SKU-001,Outer,NEW,14,30000,0.12,15600,369600,2.6,5.9,0.5,0,35000,285,11722,MAIN,1,2342,23,PromoPush,google,1,256,14
2025-01-07,BUSAN,app,SKU-002,Outer,RETURN,11,37000,0.12,20720,358160,3.9,6.8,2.0,0,25000,257,12354,MAIN,1,2208,25,PromoPush,meta,1,220,14
2025-01-07,SEOUL,app,SKU-003,Inner,RETURN,17,44000,0.12,26400,658240,3.4,6.5,1.7,0,25000,253,12018,MAIN,1,2234,19,PromoPush,meta,1,150,14
2025-01-07,BUSAN,web,SKU-004,Inner,NEW,10,51000,0.12,32640,448800,5.6,9.0,3.3,0,35000,292,12488,MAIN,1,2357,33,PromoPush,google,1,146,7
2025-01-07,SEOUL,app,SKU-005,Kids,NEW,21,30000,0.12,20400,554400,1.8,4.9,-0.8,0,25000,257,11510,MAIN,1,2263,21,PromoPush,meta,1,256,7
2025-01-07,BUSAN,web,SKU-006,Kids,VIP,10,37000,0.12,19240,325600,5.5,8.6,3.3,0,35000,259,12578,MAIN,1,2415,30,PromoPush,google,1,313,14
2025-01-07,SEOUL,app,SKU-007,Shoes,NEW,11,44000,0.12,24640,425920,3.8,7.3,1.9,0,25000,288,12435,MAIN,1,2424,33,PromoPush,meta,1,290,7
2025-01-07,BUSAN,web,SKU-008,Acc,NEW,6,51000,0.12,30600,269280,4.2,7.0,2.1,0,35000,271,12813,MAIN,1,2265,30,PromoPush,google,1,165,5
2025-01-08,BUSAN,app,SKU-001,Outer,NEW,6,30000,0.12,15600,158400,4.7,7.8,2.9,0,25000,272,12706,MAIN,1,2435,27,PromoPush,meta,1,250,14
2025-01-08,SEOUL,web,SKU-002,Outer,NEW,8,37000,0.12,20720,260480,3.7,6.3,1.3,0,35000,298,12622,MAIN,1,2211,20,PromoPush,google,1,212,14
2025-01-08,BUSAN,web,SKU-003,Inner,RETURN,21,44000,0.12,26400,813120,5.6,8.2,3.6,0,35000,267,11699,MAIN,1,2184,20,PromoPush,google,1,129,14
2025-01-08,SEOUL,app,SKU-004,Inner,RETURN,14,51000,0.12,32640,628320,3.3,5.8,0.8,0,25000,279,11783,MAIN,1,2223,22,PromoPush,meta,1,132,7
2025-01-08,BUSAN,web,SKU-005,Kids,VIP,14,30000,0.12,20400,369600,5.6,8.4,3.5,0,35000,272,12165,MAIN,1,2284,30,PromoPush,google,1,242,7
2025-01-08,SEOUL,app,SKU-006,Kids,RETURN,9,37000,0.12,19240,293040,2.9,5.5,1.3,0,25000,295,12095,MAIN,1,2348,23,PromoPush,meta,1,304,14
2025-01-08,BUSAN,web,SKU-007,Shoes,RETURN,15,44000,0.12,24640,580800,4.8,8.0,3.0,0,35000,245,11645,MAIN,1,2279,24,PromoPush,google,1,275,7
2025-01-08,SEOUL,app,SKU-008,Acc,NEW,8,51000,0.12,30600,359040,2.2,5.1,0.7,0,25000,270,12142,MAIN,1,2226,21,PromoPush,meta,1,157,5
2025-01-09,SEOUL,web,SKU-001,Outer,VIP,5,30000,0.03,15600,145500,3.4,6.9,1.0,0,0,206,9856,MAIN,3,1516,6,AlwaysOn,google,0,245,14
2025-01-09,BUSAN,app,SKU-002,Outer,VIP,4,37000,0.03,20720,143560,4.9,8.2,3.1,0,0,217,9872,MAIN,3,1647,11,AlwaysOn,meta,0,208,14
2025-01-09,SEOUL,app,SKU-003,Inner,NEW,14,44000,0.03,26400,597520,3.1,6.0,1.6,0,0,194,10380,MAIN,3,1512,9,AlwaysOn,meta,0,115,14
2025-01-09,BUSAN,web,SKU-004,Inner,VIP,10,51000,0.03,32640,494700,6.1,9.0,4.2,0,0,194,9634,MAIN,3,1616,14,AlwaysOn,google,0,122,7
2025-01-09,SEOUL,app,SKU-005,Kids,RETURN,7,30000,0.03,20400,203700,2.3,5.5,0.2,0,0,208,10682,MAIN,3,1626,7,AlwaysOn,meta,0,235,7
2025-01-09,BUSAN,web,SKU-006,Kids,RETURN,11,37000,0.03,19240,394790,5.3,8.0,3.2,0,0,206,10295,MAIN,3,1383,13,AlwaysOn,google,0,293,14
2025-01-09,SEOUL,app,SKU-007,Shoes,NEW,9,44000,0.03,24640,384120,2.3,4.9,0.3,0,0,214,9710,MAIN,3,1398,3,AlwaysOn,meta,0,266,7
2025-01-09,BUSAN,web,SKU-008,Acc,RETURN,10,51000,0.03,30600,494700,5.0,8.4,3.0,0,0,237,10533,MAIN,3,1376,6,AlwaysOn,google,0,147,5
2025-01-10,BUSAN,app,SKU-001,Outer,RETURN,8,30000,0.05,15600,228000,5.5,9.1,3.8,0,0,237,10523,MAIN,2,1832,22,AlwaysOn,meta,0,237,14
2025-01-10,SEOUL,web,SKU-002,Outer,NEW,8,37000,0.05,20720,281200,3.2,5.9,1.3,0,0,183,9378,MAIN,2,1764,21,AlwaysOn,google,0,200,14
2025-01-10,BUSAN,web,SKU-003,Inner,RETURN,10,44000,0.05,26400,418000,5.9,9.4,3.8,0,0,210,10481,MAIN,2,1800,15,AlwaysOn,google,0,105,14
2025-01-10,SEOUL,app,SKU-004,Inner,NEW,10,51000,0.05,32640,484500,3.3,6.5,1.0,0,0,201,10054,MAIN,2,1662,19,AlwaysOn,meta,0,112,7
2025-01-10,BUSAN,web,SKU-005,Kids,NEW,13,30000,0.05,20400,370500,5.4,8.1,3.3,0,0,180,9586,MAIN,2,1739,22,AlwaysOn,google,0,222,7
2025-01-10,SEOUL,app,SKU-006,Kids,NEW,11,37000,0.05,19240,386650,3.5,7.0,1.0,0,0,174,9607,MAIN,2,1652,18,AlwaysOn,meta,0,282,14
2025-01-10,BUSAN,web,SKU-007,Shoes,VIP,6,44000,0.05,24640,250800,6.1,9.6,3.8,0,0,213,9643,MAIN,2,1658,21,AlwaysOn,google,0,260,7
2025-01-10,SEOUL,app,SKU-008,Acc,NEW,8,51000,0.05,30600,387600,3.1,5.8,0.6,0,0,192,10482,MAIN,2,1667,17,AlwaysOn,meta,0,139,5
2025-01-11,SEOUL,web,SKU-001,Outer,NEW,4,30000,0.03,15600,116400,3.0,6.4,0.9,0,0,200,10321,MAIN,3,1390,4,AlwaysOn,google,0,233,14
2025-01-11,BUSAN,app,SKU-002,Outer,NEW,7,37000,0.03,20720,251230,6.5,9.5,4.6,0,0,217,9997,MAIN,3,1531,6,AlwaysOn,meta,0,193,14
2025-01-11,SEOUL,app,SKU-003,Inner,RETURN,10,44000,0.03,26400,426800,4.5,7.2,2.6,0,0,193,10277,MAIN,3,1632,9,AlwaysOn,meta,0,95,14
2025-01-11,BUSAN,web,SKU-004,Inner,RETURN,7,51000,0.03,32640,346290,6.1,9.6,4.4,0,0,184,10086,MAIN,3,1496,12,AlwaysOn,google,0,105,7
2025-01-11,SEOUL,app,SKU-005,Kids,NEW,10,30000,0.03,20400,291000,3.1,6.1,1.2,0,0,187,10263,MAIN,3,1612,6,AlwaysOn,meta,0,212,7
2025-01-11,BUSAN,web,SKU-006,Kids,VIP,16,37000,0.03,19240,574240,5.8,8.7,3.6,0,0,224,10590,MAIN,3,1490,8,AlwaysOn,google,0,266,14
2025-01-11,SEOUL,app,SKU-007,Shoes,VIP,8,44000,0.03,24640,341440,4.0,7.3,2.4,0,0,228,10329,MAIN,3,1590,12,AlwaysOn,meta,0,252,7
2025-01-11,BUSAN,web,SKU-008,Acc,NEW,8,51000,0.03,30600,395760,5.0,7.9,3.3,0,0,185,9431,MAIN,3,1537,10,AlwaysOn,google,0,131,5
2025-01-12,BUSAN,app,SKU-001,Outer,RETURN,12,30000,0.03,15600,349200,5.7,8.8,4.1,0,0,206,10606,MAIN,3,1615,11,AlwaysOn,meta,0,221,14
2025-01-12,SEOUL,web,SKU-002,Outer,VIP,7,37000,0.03,20720,251230,2.9,5.8,1.3,0,0,213,10614,MAIN,3,1424,16,AlwaysOn,google,0,186,14
2025-01-12,BUSAN,web,SKU-003,Inner,NEW,12,44000,0.03,26400,512160,5.8,8.3,3.9,0,0,174,9695,MAIN,3,1497,16,AlwaysOn,google,0,83,14
2025-01-12,SEOUL,app,SKU-004,Inner,VIP,9,51000,0.03,32640,445230,2.5,5.8,0.9,0,0,199,10363,MAIN,3,1583,14,AlwaysOn,meta,0,96,7
2025-01-12,BUSAN,web,SKU-005,Kids,NEW,9,30000,0.03,20400,261900,6.3,8.8,3.9,0,0,223,9843,MAIN,3,1558,13,AlwaysOn,google,0,203,7
2025-01-12,SEOUL,app,SKU-006,Kids,RETURN,11,37000,0.03,19240,394790,3.7,6.3,2.1,0,0,198,10367,MAIN,3,1528,10,AlwaysOn,meta,0,255,14
2025-01-12,BUSAN,web,SKU-007,Shoes,VIP,6,44000,0.03,24640,256080,6.1,9.5,4.5,0,0,203,10037,MAIN,3,1353,4,AlwaysOn,google,0,246,7
2025-01-12,SEOUL,app,SKU-008,Acc,RETURN,9,51000,0.03,30600,445230,2.9,6.0,0.5,0,0,198,10411,MAIN,3,1581,10,AlwaysOn,meta,0,122,5
2025-01-13,SEOUL,web,SKU-001,Outer,NEW,10,30000,0.03,15600,291000,3.0,6.6,1.0,2,0,198,9869,MAIN,2,1742,19,AlwaysOn,google,0,211,14
2025-01-13,BUSAN,app,SKU-002,Outer,RETURN,6,37000,0.03,20720,215340,5.2,8.8,2.8,2,0,192,10434,MAIN,2,1828,12,AlwaysOn,meta,0,180,14
2025-01-13,SEOUL,app,SKU-003,Inner,RETURN,9,44000,0.03,26400,384120,2.6,5.8,0.0,2,0,211,9688,MAIN,2,1877,22,AlwaysOn,meta,0,74,14
2025-01-13,BUSAN,web,SKU-004,Inner,NEW,12,51000,0.03,32640,593640,6.3,9.3,4.0,2,0,208,10436,MAIN,2,1690,22,AlwaysOn,google,0,84,7
2025-01-13,SEOUL,app,SKU-005,Kids,NEW,9,30000,0.03,20400,261900,3.6,6.3,1.9,2,0,230,10173,MAIN,2,1831,22,AlwaysOn,meta,0,194,7
2025-01-13,BUSAN,web,SKU-006,Kids,RETURN,11,37000,0.03,19240,394790,6.0,8.9,4.4,2,0,230,10204,MAIN,2,1663,14,AlwaysOn,google,0,244,14
2025-01-13,SEOUL,app,SKU-007,Shoes,VIP,11,44000,0.03,24640,469480,3.2,6.3,1.1,2,0,168,9314,MAIN,2,1798,16,AlwaysOn,meta,0,235,7
2025-01-13,BUSAN,web,SKU-008,Acc,RETURN,10,51000,0.03,30600,494700,5.2,7.9,2.7,2,0,226,9876,MAIN,2,1919,19,AlwaysOn,google,0,112,5
2025-01-14,BUSAN,app,SKU-001,Outer,NEW,8,30000,0.03,15600,232800,6.8,10.1,4.3,1,0,236,10613,MAIN,3,1491,8,AlwaysOn,meta,0,203,14
2025-01-14,SEOUL,web,SKU-002,Outer,NEW,14,37000,0.03,20720,502460,3.6,6.4,1.1,1,0,230,10315,MAIN,3,1545,8,AlwaysOn,google,0,166,14
2025-01-14,BUSAN,web,SKU-003,Inner,NEW,11,44000,0.03,26400,469480,4.6,8.1,2.3,1,0,208,9794,MAIN,3,1571,10,AlwaysOn,google,0,63,14
2025-01-14,SEOUL,app,SKU-004,Inner,RETURN,7,51000,0.03,32640,346290,3.2,6.6,0.9,1,0,191,9872,MAIN,3,1461,8,AlwaysOn,meta,0,77,7
2025-01-14,BUSAN,web,SKU-005,Kids,VIP,10,30000,0.03,20400,291000,6.1,9.5,3.7,1,0,189,9632,MAIN,3,1554,13,AlwaysOn,google,0,184,7
2025-01-14,SEOUL,app,SKU-006,Kids,VIP,11,37000,0.03,19240,394790,2.9,5.6,1.4,1,0,220,10123,MAIN,3,1412,11,AlwaysOn,meta,0,233,14
2025-01-14,BUSAN,web,SKU-007,Shoes,VIP,5,44000,0.03,24640,213400,5.3,8.3,3.6,1,0,213,9804,MAIN,3,1443,11,AlwaysOn,google,0,230,7
2025-01-14,SEOUL,app,SKU-008,Acc,NEW,8,51000,0.03,30600,395760,3.1,6.1,1.6,1,0,233,10457,MAIN,3,1530,9,AlwaysOn,meta,0,104,5
2025-01-15,SEOUL,web,SKU-001,Outer,NEW,11,30000,0.02,15600,323400,3.7,6.6,2.0,0,0,207,10113,MAIN,1,2191,20,AlwaysOn,google,0,192,14
2025-01-15,BUSAN,app,SKU-002,Outer,NEW,9,37000,0.02,20720,326340,4.8,8.1,2.7,0,0,197,9480,MAIN,1,2387,34,AlwaysOn,meta,0,157,14
2025-01-15,SEOUL,app,SKU-003,Inner,NEW,10,44000,0.02,26400,431200,2.9,5.9,0.8,0,0,189,9631,MAIN,1,2177,26,AlwaysOn,meta,0,53,14
2025-01-15,BUSAN,web,SKU-004,Inner,RETURN,17,51000,0.02,32640,849660,5.4,8.3,3.2,0,0,199,10680,MAIN,1,2326,27,AlwaysOn,google,0,60,7
2025-01-15,SEOUL,app,SKU-005,Kids,RETURN,6,30000,0.02,20400,176400,2.8,5.4,0.4,0,0,206,9617,MAIN,1,2191,21,AlwaysOn,meta,0,178,7
2025-01-15,BUSAN,web,SKU-006,Kids,NEW,7,37000,0.02,19240,253820,4.3,6.9,2.8,0,0,228,10478,MAIN,1,2360,26,AlwaysOn,google,0,226,14
2025-01-15,SEOUL,app,SKU-007,Shoes,VIP,12,44000,0.02,24640,517440,3.9,7.2,2.3,0,0,224,10389,MAIN,1,2423,31,AlwaysOn,meta,0,218,7
2025-01-15,BUSAN,web,SKU-008,Acc,RETURN,3,51000,0.02,30600,149940,5.3,7.9,3.2,0,0,194,10196,MAIN,1,2323,24,AlwaysOn,google,0,101,5
2025-01-16,BUSAN,app,SKU-001,Outer,RETURN,4,30000,0.03,15600,116400,4.8,8.0,2.7,0,0,217,9924,MAIN,2,1842,19,AlwaysOn,meta,0,188,14
2025-01-16,SEOUL,web,SKU-002,Outer,RETURN,6,37000,0.03,20720,215340,2.7,5.9,1.0,0,0,208,10332,MAIN,2,1901,21,AlwaysOn,google,0,151,14
2025-01-16,BUSAN,web,SKU-003,Inner,NEW,14,44000,0.03,26400,597520,6.7,9.4,4.1,0,0,240,10587,MAIN,2,1802,18,AlwaysOn,google,0,39,14
2025-01-16,SEOUL,app,SKU-004,Inner,NEW,10,51000,0.03,32640,494700,3.1,6.4,1.4,0,0,200,9633,MAIN,2,1891,24,AlwaysOn,meta,0,50,7
2025-01-16,BUSAN,web,SKU-005,Kids,NEW,9,30000,0.03,20400,261900,4.5,7.8,2.6,0,0,199,9990,MAIN,2,1659,21,AlwaysOn,google,0,169,7
2025-01-16,SEOUL,app,SKU-006,Kids,NEW,10,37000,0.03,19240,358900,2.9,5.5,0.9,0,0,205,9350,MAIN,2,1872,11,AlwaysOn,meta,0,216,14
2025-01-16,BUSAN,web,SKU-007,Shoes,VIP,12,44000,0.03,24640,512160,4.4,7.2,2.7,0,0,188,9401,MAIN,2,1936,13,AlwaysOn,google,0,206,7
2025-01-16,SEOUL,app,SKU-008,Acc,VIP,9,51000,0.03,30600,445230,2.3,5.1,0.1,0,0,206,10297,MAIN,2,1864,23,AlwaysOn,meta,0,92,5
2025-01-17,SEOUL,web,SKU-001,Outer,NEW,8,30000,0.03,15600,232800,3.1,5.9,1.2,0,0,185,9430,MAIN,3,1441,16,AlwaysOn,google,0,180,14
2025-01-17,BUSAN,app,SKU-002,Outer,NEW,9,37000,0.03,20720,323010,3.8,6.6,1.8,0,0,223,10042,MAIN,3,1500,16,AlwaysOn,meta,0,142,14
2025-01-17,SEOUL,app,SKU-003,Inner,VIP,10,44000,0.03,26400,426800,3.1,6.1,0.8,0,0,229,9983,MAIN,3,1470,16,AlwaysOn,meta,0,29,14
2025-01-17,BUSAN,web,SKU-004,Inner,RETURN,11,51000,0.03,32640,544170,3.7,6.3,1.2,0,0,196,10511,MAIN,3,1437,8,AlwaysOn,google,0,39,7
2025-01-17,SEOUL,app,SKU-005,Kids,RETURN,6,30000,0.03,20400,174600,2.8,5.5,0.9,0,0,213,9955,MAIN,3,1411,6,AlwaysOn,meta,0,163,7
2025-01-17,BUSAN,web,SKU-006,Kids,VIP,7,37000,0.03,19240,251230,3.7,6.6,1.3,0,0,198,9998,MAIN,3,1464,14,AlwaysOn,google,0,209,14
2025-01-17,SEOUL,app,SKU-007,Shoes,RETURN,10,44000,0.03,24640,426800,3.0,5.6,0.7,0,0,216,9405,MAIN,3,1442,5,AlwaysOn,meta,0,196,7
2025-01-17,BUSAN,web,SKU-008,Acc,NEW,8,51000,0.03,30600,395760,5.6,8.5,3.5,0,0,212,10032,MAIN,3,1505,7,AlwaysOn,google,0,84,5
2025-01-18,BUSAN,app,SKU-001,Outer,VIP,7,30000,0.03,15600,203700,5.3,8.4,3.2,0,0,217,9402,MAIN,3,1357,3,AlwaysOn,meta,0,173,14
2025-01-18,SEOUL,web,SKU-002,Outer,RETURN,6,37000,0.03,20720,215340,3.3,6.2,1.7,0,0,207,10514,MAIN,3,1518,8,AlwaysOn,google,0,136,14
2025-01-18,BUSAN,web,SKU-003,Inner,VIP,14,44000,0.03,26400,597520,5.1,8.4,3.2,0,0,218,10174,MAIN,3,1611,8,AlwaysOn,google,0,15,14
2025-01-18,SEOUL,app,SKU-004,Inner,NEW,7,51000,0.03,32640,346290,2.6,6.0,0.9,0,0,205,9871,MAIN,3,1589,14,AlwaysOn,meta,0,32,7
2025-01-18,BUSAN,web,SKU-005,Kids,RETURN,14,30000,0.03,20400,407400,5.0,8.2,2.5,0,0,181,10035,MAIN,3,1487,5,AlwaysOn,google,0,149,7
2025-01-18,SEOUL,app,SKU-006,Kids,NEW,10,37000,0.03,19240,358900,3.3,5.9,1.5,0,0,213,9882,MAIN,3,1581,16,AlwaysOn,meta,0,199,14
2025-01-18,BUSAN,web,SKU-007,Shoes,VIP,11,44000,0.03,24640,469480,4.9,8.4,2.8,0,0,212,10312,MAIN,3,1608,6,AlwaysOn,google,0,185,7
2025-01-18,SEOUL,app,SKU-008,Acc,NEW,8,51000,0.03,30600,395760,3.3,6.6,0.9,0,0,225,10200,MAIN,3,1403,16,AlwaysOn,meta,0,76,5
2025-01-19,SEOUL,web,SKU-001,Outer,RETURN,5,30000,0.05,15600,142500,2.2,5.4,-0.4,0,0,204,10140,MAIN,2,1935,16,AlwaysOn,google,0,168,14
2025-01-19,BUSAN,app,SKU-002,Outer,VIP,7,37000,0.05,20720,246050,4.5,7.5,2.6,0,0,187,9545,MAIN,2,1871,17,AlwaysOn,meta,0,253,14
